"Variant id","Variant title",SKU,Barcode,"Product id","Product title","Product link",Vendor,Price,"Compare at price","Inventory Item ID","Cost per item","Variant Inventory Qty",Published
24861974789,,PBVR08,,7081393029,"Vegan Rally Sampler 3 pack",https:///products/vegan-rally-sampler,"Cookie Doughpness, Smooth Caffeinator, All-In Almond",8.25,"8.25 ",13370364997,,-11,active
24861974917,"Single bar",AA01,853982004012,7081393221,"All-in Almond",https:///products/all-in-almond,"Almonds, Apricots & Chocolate Chips",2.79,"2.79 ",13370365125,,-3574,active
24983809925,"10 Bars",AA10,853982004043,7081393221,"All-in Almond",https:///products/all-in-almond,"Almonds, Apricots & Chocolate Chips",27.90,"27.90 ",13473583109,,-175,active
31570560005,"Picky Club (10% off)",AA01_PC10,,7081393221,"All-in Almond",https:///products/all-in-almond,"Almonds, Apricots & Chocolate Chips",2.51,"2.51 ",19697126085,,-51237,active
31570581701,"Picky Club (20% off)",AA01_PC20,,7081393221,"All-in Almond",https:///products/all-in-almond,"Almonds, Apricots & Chocolate Chips",2.23,"2.23 ",19697153221,,-68945,active
31570603333,"Picky Club (30% off)",AA01_PC30,,7081393221,"All-in Almond",https:///products/all-in-almond,"Almonds, Apricots & Chocolate Chips",1.95,"1.95 ",19697173061,,-185481,active
24861975237,"Single bar",BB01,853982004227,7081393285,"Blueberry Boomdizzle",https:///products/blueberry-boomdizzle,"Blueberries, Almonds & Vanilla",2.79,"2.79 ",13370365445,,-2651,active
24987033989,"10 Bars",BB10,853982004234,7081393285,"Blueberry Boomdizzle",https:///products/blueberry-boomdizzle,"Blueberries, Almonds & Vanilla",27.90,"27.90 ",13476169733,,-949,active
31570662469,"Picky Club (10% off)",BB01_PC10,,7081393285,"Blueberry Boomdizzle",https:///products/blueberry-boomdizzle,"Blueberries, Almonds & Vanilla",2.51,"2.51 ",19697233349,,-44492,active
31570691013,"Picky Club (20% off)",BB01_PC20,,7081393285,"Blueberry Boomdizzle",https:///products/blueberry-boomdizzle,"Blueberries, Almonds & Vanilla",2.23,"2.23 ",19697261893,,-60281,active
31570743173,"Picky Club (30% off)",BB01_PC30,,7081393285,"Blueberry Boomdizzle",https:///products/blueberry-boomdizzle,"Blueberries, Almonds & Vanilla",1.95,"1.95 ",19697312069,,-167827,active
24861975365,"Single bar",NS01,853982004029,7081393349,"Need for Seed",https:///products/need-for-seed,"Sunflower Butter, Honey & Chocolate",2.79,"2.79 ",13370365573,,-2143,active
24987168837,"10 Bars",NS10,853982004074,7081393349,"Need for Seed",https:///products/need-for-seed,"Sunflower Butter, Honey & Chocolate",27.90,"27.90 ",13476268997,,-879,active
31571376005,"Picky Club (10% off)",NS01_PC10,,7081393349,"Need for Seed",https:///products/need-for-seed,"Sunflower Butter, Honey & Chocolate",2.51,"2.51 ",19697944901,,-56067,active
31571400389,"Picky Club (20% off)",NS01_PC20,,7081393349,"Need for Seed",https:///products/need-for-seed,"Sunflower Butter, Honey & Chocolate",2.23,"2.23 ",19697955781,,-77202,active
31571429637,"Picky Club (30% off)",NS01_PC30,,7081393349,"Need for Seed",https:///products/need-for-seed,"Sunflower Butter, Honey & Chocolate",1.95,"1.95 ",19697989893,,-216276,active
